iter	Passed	Remaining
861	6962	1114
862	6970	1106
863	6978	1098
864	6986	1090
865	6993	1082
866	7001	1074
867	7009	1066
868	7018	1057
869	7026	1049
870	7034	1041
871	7042	1033
872	7049	1025
873	7057	1017
874	7064	1009
875	7073	1001
876	7081	993
877	7089	985
878	7097	977
879	7105	968
880	7113	960
881	7121	952
882	7130	944
883	7137	936
884	7146	928
885	7154	920
886	7162	912
887	7170	904
888	7176	896
889	7183	887
890	7192	879
891	7200	871
892	7207	863
893	7215	855
894	7222	847
895	7229	839
896	7237	831
897	7245	823
898	7254	815
899	7262	806
900	7270	798
901	7278	790
902	7285	782
903	7294	774
904	7302	766
905	7311	758
906	7320	750
907	7329	742
908	7336	734
909	7345	726
910	7354	718
911	7361	710
912	7369	702
913	7376	694
914	7386	686
915	7394	678
916	7403	670
917	7411	662
918	7419	653
919	7427	645
920	7435	637
921	7443	629
922	7451	621
923	7458	613
924	7465	605
925	7472	597
926	7480	589
927	7487	580
928	7495	572
929	7504	564
930	7512	556
931	7520	548
932	7529	540
933	7539	532
934	7548	524
935	7557	516
936	7567	508
937	7576	500
938	7585	492
939	7594	484
940	7602	476
941	7610	468
942	7618	460
943	7626	452
944	7635	444
945	7643	436
946	7650	428
947	7656	419
948	7664	411
949	7671	403
950	7680	395
951	7689	387
952	7698	379
953	7705	371
954	7714	363
955	7722	355
956	7730	347
957	7737	339
958	7745	331
959	7753	323
960	7762	315
961	7771	306
962	7779	298
963	7787	290
964	7795	282
965	7803	274
966	7811	266
967	7819	258
968	7827	250
969	7836	242
970	7845	234
971	7854	226
972	7863	218
973	7870	210
974	7879	202
975	7887	193
976	7895	185
977	7903	177
978	7912	169
979	7920	161
980	7929	153
981	7936	145
982	7945	137
983	7954	129
984	7962	121
985	7970	113
986	7980	105
987	7989	97
988	7997	88
989	8005	80
990	8013	72
991	8022	64
992	8030	56
993	8039	48
994	8047	40
995	8055	32
996	8064	24
997	8072	16
998	8081	8
999	8089	0
